text,label
why can't i get my top up to work in apple pay?,2
which atms allow me to change my pin?,21
i'm really upset because i made a typo during a transfer and now i've sent money to the wrong account.  i can't fix this with the app.  please help me immediately!,8
is there a way to see where funds come from,70
how long will it take for my money to be deposited?,47
how do i take a block off my card?,49
i need assistance activating my card?,0
i'm worried that my card has been compromised because i see a payment that i didn't make.,16
please tell me how i can receive a physical card,43
why was i charged extra on my last uk pound to russian ruble exchange?,17
i seem to be having trouble with my google pay top. can you please help?,2
the atm shows a withdraw of the amount of money i requested but i didn't revieve that amount in cash.,75
what is this extra pound charge for?,34
what are interbanks current exchange rates?,32
"if i don't live in the uk, can i still get a card?",24
can i track history on funds?,70
i paid with card and was charged a fee that shouldn't be there!,15
can you please tell me why i cant get money from the atm?,26
i am so angry right now!  i went to the atm and did not get the correct amount of money i chose to withdraw.  how could this happen?  i need my money and want to know how i can get it asap!,75
"someone is using my card to purchase flights to new york it's not me because i'm not going to new york, please can you cancel the card and refund the money?",20
has my top up gone through?,47
a refund is taking too long.,51
why was my transaction declined?,35
can you tell me why the card payment came back?,53
the exchange rate used on your app is really bad. i'm considering closing my account because of it.,17
i have a problem with my account. i tried to transfer some funds and the message came back declined. can you help me?,27
for what reason can i not transfer money to a beneficiary?,7
why is my check still not showing up on my account? it's been a week already,6
is it normal to see a fee for transferring money?,64
can you explain the various transaction times shown on my statement?,63
i use gbp for my salary deposits. must i set this up somewhere?,50
how long will it take the money to appear in my account?,67
i would like my money back for an item i purchased,52
do you know the rate of exchange?,32
"i moved, can i edit my personal details?",30
why can't a beneficiary receive a money transfer from me?,7
i only got some of the cash i requested from the atm,75
why am i unable to withdraw my money through this card?,26
"i bought something while traveling, and the exchange rate was wrong.",17
i would like to dispute a payment i didnt make,28
is there a limit to top up,60
i would like to change my personal details.,30
how will i know my pin number?,38
why hasn't my top-up gone through?,47
i sent money to my family last friday but they don't have it.,66
i haven't received the pin yet.,38
how do i find out how or where this transaction on my account came from?,16
"why am i being charged for atm cash withdrawals? the only reason i use it is because it's been free! now you expect me to pay for them, and how much is that going to cost me?",19
i'm not sure where my phone is.  can someone else use the app?,42
how old do my kids need to be to open an account?,1
was my transaction reverted with my card?,53
what do i have to do to get my pin unblocked?,49
"my card was refused, why?",25
why is it taking so long to update my balance transfer?,5
the store card reader would not accept my card.,25
how long will my transfer be pending?,48
what amount of time does it take for a transfer to reflect and be available,5
why can i not transfer money into my account?,65
i left my card at a restaurant and now its missing.,41
where is my new card if i haven't received it yet?,11
is there a list of atms that take this card?,3
the exchange rate applied was incorrect when i was traveling outside the country.,76
please cancel my last transaction.,8
the atm did not give me my card back?,18
is there a reason my new card hasn't arrived yet?,11
why am i missing my refund,51
why did you revert my top-up?,61
i'm not able to verify my identity.,68
i've made a bank transfer but the money doesn't seem to be in my account.,5
the app won't let me transfer money to a beneficiary,7
why is my identification required?,74
what should i do if i think someone is using my card without my permission?,22
how do i fix a broken card?,14
how do i transfer something faster than normal?,67
can i exchange usd for gbp in your app?,33
my transfer failed to process correctly. is there a reason this would happen?,35
do i pay extra for exchange?,31
the app declined my top up. what did i do wrong?,61
there are a couple payments with my card in the app i see that i didn't create. what is happening? maybe someone gained access to my account.,16
my card payment might have been reverted.,53
are you only able to get a card if you're in the uk?,24
when can i expect my new card to get here?,12
can i use my card wherever i want?,10
tell me if there is a limit to top-up.,60
i did not receive my full withdrawal amount,75
"unbeknownst to me, there was an additional charge on my prior transaction. a notification of sorts should be required and explained before future payments are made.",15
i just had a look at my statement. why have i been changed for using the atm?,19
i was supposed to get a refund but i do not see it.,51
your exchange rate was off.  i was charged extra on my payment that i made last saturday.,17
what do i need to do to cancel a transaction?,8
why is my cash withdrawal still showing as pending?,46
how much longer until i get my new card?,11
the money disappeared after i topped up my account.,62
i wanted to withdraw $100 from the atm but i only got $20,75
is there a way to do top up with apple pay,2
my product was faulty.,52
can i use this app to exchange currencies?,33
whats types of currency can i exchange?,33
i ordered a card and would like to know how to track the delivery progress of it.,11
why did i get charged a fee on my card?,15
"i made a transfer and according to the receiver ""they haven't received the right amount"" its lesser than it should be.now i have to transfer more money to make up for the missing amount . can you please help me about this, what should be done ?",64
"i only made one transaction at this place, but it's appearing multiple times.",63
can my account have different types of currency in it.,36
what is the number of transactions for one disposable card?,29
"i found the card that i thought i lost, and i would like to reactivate it.",13
why is the refund not on my statement?,51
"if i lost my phone at the hotel, can i still use the app?",42
my card payment has not been withdrawn from my account,53
please explain how disposable virtual card work.,37
why is my refund not visible on my statement?,51
"someone has a copy of my card. i have my card with me, but someone just made a 500£ cash withdrawal. help me.",20
"i could not get a top-up to work, why?",59
where does the exchange rate stand right now?,32
still need to get card pin,38
how do i return something for a full refund?,52
i need my purchase cancelled.,52
"how do i get money from an atm using my card? i can't seem to get it to work? i used the pin i had, but maybe it's wrong? what do i need to do to fix this?",26
i've tried using my card multiple times and it keeps getting declined.,25
my account isn't showing a transfer i made.,5
can i use my card for online payments?,10
what is the limits on the number of disposable cards i can have?,29
can a friend top up my account,62
i bought an item that i was charged a different exchange rate for.,17
i need a transaction reversed from my account.,63
why can't i top up by cheque?,58
if i found a lost card can i put it back in app,13
i would like to cancel my purchase.,52
where'd the rest of my cash go from the atm,75
why was an extra charge added when i used my card?,15
my disposable virtual card isn't working.,72
are there fees for adding money with an international card?,57
why would i be charged an extra fee while doing a transfer?,64
"i want to get a visa and mastercard, is it possible to get both from you?",73
"my phone was stolen, what should i do?",42
tell me why my transfer was declined.,27
i'm still expecting the transaction to be finished,66
can i use my salary for this?,50
why didn't the atm give me all my money,75
it looks like my card payment was sent back.,53
i still want to use my account but haven't verified is that ok?,74
why am i charged a fee for withdrawing cash?,19
i goofed up and used the wrong account.  please help.,8
i made a cash deposit to my account but i don't see it,6
what does it mean when a payment is pending?,45
my account did not allow the transfer.,7
why am i charged to get money from the atm?,19
why do you guys need to verify my identity?,74
there is the same transaction showing more than once.,63
i was checking my account when i saw a $500 cash withdraw that i know i didn't do.  i have my card so i don't understand how this happened.  please help me.,20
i was getting some cash out of the atm but it cancelled on me without warning.,26
how long should i expect to wait when i add money,47
i purchased something abroad and the incorrect exchange rate was applied.,17
why can't i see my refund in my statement?,51
how can i transfer money to a beneficiary?,7
"my pin seems to be blocked, help me access it?",49
why is my transfer still pending?,48
why is it necessary to verify the top up?,71
my cash deposit from a week ago is still not in my account. can you help me please?,6
i was mistakenly charged a fee for using my card.,15
what is the length of time for money to reach the account?,67
"the exchange rate given to me after a purchase, was incorrect",17
how can i prove i am me?,69
how much would it cost me if i transfer?,56
what are the reasons for a declined transfer?,27
why is there a fee on my money transfer?,64
is it possible for friends to top up my account?,62
please explain why my transfer attempt was declined. thank you.,27
is there a auto top-up option?,4
the app says i got cash from an atm but i didn't,20
can i transfer money to my account with the app?,65
can you tell me why my transfer is pending still?,48
i believe that my card has been stolen!,41
why isn't my beneficiary allowed?,7
i got notified that my top up has been reverted. why?,61
where do i go to get my new card linked?,13
why am i being charged to withdrawal money?,19
i can't remember my password.,44
i bought something this morning and the payment is still pending,45
how can i open an account for my children?,1
how long does a transfer from the us take?,67
i ordered my card a couple weeks ago and haven't received it yet. when can i expect it?,12
"i think my pin has been compromised, what do i do?",21
i'm being asked for a verification code. where do i find it?,71
"my transaction history is looking a little off. i have been charged twice for multiple different purchases, and would like to have those duplicate charges refunded.",63
i see a charge of 1l i do not recognize on my statement,34
i would like to change the the pin on my card.,21
"after i deposited my cash, i still don't see it in my account.",6
i topped up and now my money is not there anymore! what happened to it?,61
i am unable to prove my identity,68
please help me as my online payment is getting declined since yesterday while i am trying to purchase something online.,27
i would like to transfer money from my checking account to my savings account.,65
help me.  my phone has been lost or stolen!,42
can we skip verifying?,74
the atm won't let me take out cash,26
"hi. about two hours ago i made a transfer from my bank which is in the uk, but i don't see it yet! would you check what's going on with it, please?",5
how do i add money from my amex card to top up,54
why was there a fee with my cash withdrawal?,19
i'm interested in learning more about product refunds.,52
how do i fill out the identity check?,69
how do i go about getting a refund?,52
i am having trouble withdrawing cash.,26
help me verify my identification.,68
would i get a visa or mastercard?,73
the atm didn't give me the full requested amount,75
my refund has not shown up on my statement.,51
there is money in my account that i didnt put there,20
why cant i transfer to my account?,7
seems like my top-up has not gone through,47
why did you cancel my card payment?,53
it won't let me verify my identity.,68
"the expiration of my card is near, how do i order a new card?",9
the exchange rate for my card payment doesn't seem right.,17
"on my last trip, i received the incorrect exchange rate.",76
are cards available to those outside of the uk?,24
is there restrictions on where i can use my card?,10
report stolen card,41
i want to use my account before identity verification,74
my purchases from this morning are showing up as payment pending. can you tell me why?,45
how do you do currency exchanges?,32
"the company is no good, please terminate my account.",55
how long does my top up pending last?,47
i noticed that the exchange rate applied to a recent purchase i made abroad was incorrect.,17
why was my request for cash declined?,26
is there a frequent currency discount?,31
my card is lost!  please help me!,41
my transfer is pending too long.,5
i am unable to use my top-up on the app. could you explain this to me?,61
are bank transfers immediate?,5
how many active transactions can i make with a disposable card?,29
why am i being a charged for using my card?,15
do you charge anything for topping up?,56
can i exchange currency to europe?,36
where can i find the verification code for a top-up?,71
i made a payment but it was returned.,53
why was there a fee on my cash withdrawal?,19
where is the tracking number for the card?,11
what's going on? i was just recently charged for an atm withdrawal. i've never seen this charge before and before it's always been free.,19
how can i tell what foreign exchange rate i will get?,32
to many charges on my card how do i go about fixing that?,63
can i get information on the identity checks?,69
how much does currency exchange cost?,31
i'm having difficulties changing aud for gbp. how do i do this?,33
there is a direct debit set up that was not authorized by me.,28
i tried using my atm card at your notting hill location today.  it did not work.  am i doing something wrong?,26
what can i do to make my physical card work?,14
to receive money are there charges?,56
"i'm currently not in possession of my phone, is it still possible to go about things normally without access to the app?",42
i need to update my phone number.,30
i am looking to transfer some money from my other bank account into this one.,65
"hello, i tried to take out some money out of the atm, but it's still showing that it's pending? i really don't want to be charged for this.",46
why was i charged a fee for withdrawing money?,19
with what currencies can i add money?,54
why would my card payment be reverted?,53
what about my children?,1
how do i request the pin?,38
how does the exchange rate work on this app?,32
my top up is giving me problems. what is wrong with it?,59
there is  an extra 1£ charge on my app. why did it charge me extra?,34
will i have to wait much longer for my new card to arrive?,11
"hello, i tried to top up with my card, but it didn't work. i just got it a couple days before and it works fine. what's the deal? can you check into this?",59
why can't i use my card?,14
"i tried topping off my account with a card, but the money is not in my account despite the charge going through",62
how can i dispute a debit transaction?,28
my money transfer has not happened yet,48
"i tried using a foreign currency at an atm, but the atm provided me an incorrect rate. why is that?",76
do you know how to change my card pin?,21
what should i do if i see a withdrawal is pending?,46
i made a deposit but it is not showing up in my balance.,6
i attempted to deposit a cheque yesterday but the balance isn't showing today. is it still pending?,6
there has been a payment  in the app that has not be done by me.,16
i was trying to top up my account and it isn't working,59
can i tell what business will take this card?,10
can i use visa or mastercard with your service,73
i made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. how can you help?,8
my friend has not got the money i sent last week.,66
my new landlord says he hasn't received the rent payment that i transferred a couple days ago. i've already checked the account numbers and they are correct. can you tell me what's going on with this transaction that the transfer isn't showing up on my landlord's end?,66
is there a cash withdrawal fee? because i just got charged?,19
do you offer disposable virtual cards too?,37
i think my card payment was cancelled. what happened?,53
this is the first time i've tried to get my money out of an atm and it didn't work. please give me my money,26
there are strange transactions on my account.  what should i do if i think someone stole my details?,22
i wasn't able to withdraw money at an atm,26
"i need a new card, my old card is expiring.",9
any chance of getting the card outside the uk?,24
do i have to pick a creditcard brand?,73
i want to delete my account. how do i do this?,55
how often can i top up my account?,60
what do i do if i do not recognise a cash withdrawal?,20
my top-up is taking a very long time to complete.,47
"help! i think someone has a copy of my card - i still have my card, but a five hundred pound cash withdrawal that i didn't authorize is shown on my account.",20
"i need to hold money, what currencies can i use?",36
i don't understand where this charge came from.,16
how long does it take for something to be delivered to the u.s?,12
how many incorrect attempts cause card to be blocked?,49
why is it important to verify my identity?,74
is top-up possible with apple pay?,2
atm ate my card,18
will my friends be able to top up my account?,62
i topped off my card is that something you will charge me for?,57
hi. please can you help me fix a double charge on my card? i'm looking at my transactions and this restaurant i went to earlier in the week has charged me twice! please remove the additional charge for me.,63
my top up card needs verification and i don't know how to do it,71
i've been trying to make a transfer and it doesn't seem to be working. (5 times) what is wrong with your system?,35
what systems do you have in place for my security when using my card for everyday purchases?,37
why did you charge me more for my purchase? it was a foreign currency and you didn't offer market rate,17
the $1.00 has still not been reverted as indicated in the previous email.,34
can you tell me how i go about activating a new card?,0
can i use this app for both usd and gbp?,33
"if i want to be able to give my daughter a card for my account, would i be allowed to get one for her?",39
does this program take swift transfers?,56
what's the limit on total number of cards i can have?,39
how long do transfers take to show up in my account?,5
can you please advise if there is something wrong with my card? i have had multiple rejections and do not know the reason. thanks!,25
"can i get money in my home currency at some atm? i'm on holiday and am a bit concerned because i don't have any cash with me, it is possible to withdraw here already without any additional cost?",76
"i sent money to someone but they haven't gotten it, what's going on?",66
i tried doing an in country transfer earlier this week. i thought it would be there by now but i still don't see the money. can you check the status on my transfer?,66
who charged my card,64
"money was taken out without my consent,",20
i think the bank made a mistake on the exchange rates,76
what is needed for my daughter to open an account?,1
can i see money source?,70
i want a new pin please.,21
reason for my card to decline,25
need to know if there is a maximum i can top up,60
"for some reason, the money i added was returned.",61
do the disposable cards have a transaction limit?,29
i am unable to access my app due to forgetting my passcode.,44
"hi, i made a transfer yesterday that i need to reverse.  i need to put the money in a different account.",8
where do i find my card pin?,38
how can i top up my account with a cheque?,58
"i'd like to make a sepa transfer to my account, but will i be charged?",56
there is a €1 extra fee in my statement,34
why wasn't my payment accepted by the app,53
in what places can i use my card?,10
do you have info about the card on delivery?,11
are you sure this is the interbank exchange rate? this rate is really bad.,17
how long does a payment usually show as pending? is it normal that mine is still pending?,45
i tried to transfer funds to a beneficiary and was denied. can you tell me why?,7
i have a new card and i can't add money to it.  i tried about 30 minutes ago and it is still pending.  what do i do?,47
"i forgot my phone at the hotel, so i can't access the app.",42
"so much time has gone by, the pending status shouldn't still be there shouldn't it?",46
why was i denied the option to transfer money to a selected beneficiary?,7
will you charge me for exchanging foreign currencies?,31
i have zero dollars in my account. can i submit additional funds via bank transfer?,65
i have an emergency and lost my phone.  i need help accessing my account.,42
my transfer failed,35
delete my account please. now!,55
explain top-up cancellation,61
how do i update my address?,30
there was a direct debit transaction i have don't think should be there.,28
this transfer incurred a fee that i don't think is right.,64
i am not satisfied with your company and wish to delete all accounts immediately.,55
why won't my card work.,14
"my phone was stolen, help!",42
"where can i find out the fee structure for my account? i have been charged fees for some transactions, but not for other ones. i can't find a pattern in these fees.",15
a payment that i didn't make appears in my app.,16
"i need to activate my card, how is that done?",0
how can i track my card's delivery?,11
how can i reset the passcode if i need to do that?,44
where is the code for verifying the top up card?,71
how is it possible to add another card to account,39
"i have made 5 attempts to make a very standard survey, yet i can't get it to work. what is the problem? is there an issue related to your system?",35
wheres my money receipt,66
is there a way to change my pin without having to go to the bank?,21
why are top-ups being verified?,71
which flat currencies do you support for holding and exchange?,36
i am having trouble transferring money to a beneficiery.,7
"my card has been declined by two separate atm, and i'm worried something is wrong with my account. would you please see if my account is okay?",26
please tell me what this direct debit in my statement is,28
"i think something is wrong with your top up.  i've been waiting a little over an hour for this to go through, can you send it through for me?",47
there is a single payment on my card which shows as pending.,45
"i have arranged a transfer, but no longer need to send it. how do i stop the transfer?",8
"how do i know what my account is set to, i am paid in gbp?",50
my new card has not been delivered to my home yet. what is going on?,11
i didnt do this charge,16
can third party fees affect a transfer?,56
i see a cash withdrawal in the app that i did not do.,20
why was money taken for a transfer?,64
when i add money to my international card do you charge a fee to do so?,57
what is the maximum number of transactions i can do with a disposable card?,29
what are my options for holding money in multiple currencies?,36
what atms take this card?,3
"i need to transfer money into my account, and i don't know how to do that.",65
i will need a new card because mine is almost expired.  how fast do i get a replacement and what is the cost?,9
"hi, i am unable to use my card in atm. i had tried my card in two atms but both atms declined it. could you please check my account?",26
how long until my card will get here?,12
there is a payment showing that i know i didn't make. i didn't use my card that day and i'm sure of it. can you please cancel that transaction and return my money? thankyou,28
why does my transfer say it is pending?,48
how do i get the passcode reset?,44
my account was charged a fee. when did you start charging extra for card payments?,15
i didn't cancel my top-up.,61
how many times can i use a virtual card?,29
why is there a charged fee for debit or credit card payment?,15
why was my card declined?,25
i used my card and there was a fee,15
why do i have a charge for an atm withdrawal? i thought these were free?,19
"my card was lost on vacation, i don't know where it is. can you help me take care of this immediately?",41
"some cash was withdrawn in the app, but i did not do it.",20
i need a number of disposable cards everyday.,29
my card is expiring soon.,9
tell me why my card payment would be reverted.,53
the atm cancelled a transaction on me when i was trying to get some cash out.,26
who can have access to top up my account?,62
what happens if i deposit a cheque accidentally?,6
how do i change my name after marriage,30
how do i go about ordering a card?,43
i got some cash in the atm but its still pending,46
"after reviewing my charges, i see i was charged a fee for a transfer i did, why?",64
i've made a transfer from france two days ago but i was wondering if international transfers take longer to arrive because it hasn't made it yet.,5
can i use your app to exchange between usd and gbp,33
i see a direct debit transaction in my history that i did not set up.,28
can you assist me in activating my card?,0
i have a new phone number and need to edit my contact information.,30
"i accidentally made a payment from the wrong account yesterday. it's my rent payment, and it's very large, so the account i paid from won't be able to cover the amount. it's really important that the payment be made from the right account?",8
i am seeing in the app a diret debit that its not mine,28
how does someone else top up my account,62
the atm didn't give me the amount i asked for,75
can i pay more to get it deliver quicker?,12
can you tell me why my card payment was cancelled?,53
are there still fees for european top-ups?,57
there is a payment i don't recognise!,28
i'd prefer mastercard.,73
whats wrong with my currency exchange?,76
"help, i need to top up my account. where do i send a check?",58
my card was declined at a restaurant today and i don't know what the problem is.,14
how many atms will take this card?,3
i have a top-up that's still pending and wanted to know about it.,47
the exchange rate is wrong from something i got in another country,17
i'd like to know where my funds come from.,70
i'm still waiting on a payment,45
i am here to change my adress.,30
my transaction from earlier needs to be reversed.,8
i believe my card payment has reverted,53
my top-up hasn't gone through,47
where can i find a list of descriptions the disposable cards have?,29
"it says that my payment is pending, what does that mean?",45
"i transferred money, why was charged for an extra fee?",64
is my card ready for use or does it need activated and if so how?,0
how much for topping up by card?,57
what do i need to do to correct this failed transfer?,35
there is a payment that has not processed.,45
"i hate this atm, it charged me an extra fee, why did it charge?",19
my refund is not here yet,51
is there a problem with your system being down or something? i have already tried 5 times to issue a standard transfer but i'm getting nowhere.,35
when should i expect to receive my card?,12
can i have a supplementary card?,39
i am looking to change my adress.,30
how come my refund hasn't appeared on my statement?,51
